bank_name,review_text,rating,sentiment_score,review_date,thumbs_up,text_length,word_count,source,app_version,sentiment_label,month
Commercial Bank of Ethiopia,slow loading time is making the app unusable.,1,-0.384,2025-08-05,1,45,8,Google Play Store,1.6.52,negative,2025-08
Dashen Bank,Highly recommended for quick setup.,4,0.55,2025-02-25,3,35,5,Google Play Store,2.3.71,positive,2025-02
Bank of Abyssinia,Bank of Abyssinia has the best helpful support team feature.,5,0.812,2025-01-02,2,60,10,Google Play Store,3.7.81,positive,2025-01
Bank of Abyssinia,Excellent experience with secure transactions.,5,1.0,2025-10-15,1,46,5,Google Play Store,2.9.17,positive,2025-10
Commercial Bank of Ethiopia,Please fix the app crashes frequently problem!,2,-0.886,2025-01-17,0,46,7,Google Play Store,3.8.64,negative,2025-01
Commercial Bank of Ethiopia,Excellent experience with easy to use.,5,1.0,2025-06-09,3,38,6,Google Play Store,3.9.28,positive,2025-06
Commercial Bank of Ethiopia,Highly recommended for good customer support.,4,1.0,2025-08-24,5,45,6,Google Play Store,3.2.11,positive,2025-08
Awash Bank,The app works perfectly for useful features.,5,0.692,2025-07-10,2,44,7,Google Play Store,3.8.12,positive,2025-07
Bank of Abyssinia,transaction failures is making the app unusable.,1,-0.291,2025-08-25,2,48,7,Google Play Store,4.7.6,negative,2025-08
Commercial Bank of Ethiopia,The app keeps having problems with update issues.,1,-0.081,2025-03-26,0,49,8,Google Play Store,1.8.48,neutral,2025-03
Commercial Bank of Ethiopia,Highly recommended for good customer support.,5,0.687,2025-03-20,0,45,6,Google Play Store,4.9.34,positive,2025-03
Bank of Abyssinia,Highly recommended for smooth experience.,5,0.864,2025-04-19,0,41,5,Google Play Store,2.5.64,positive,2025-04
Commercial Bank of Ethiopia,Disappointed with slow loading time issues.,1,-0.492,2025-06-05,0,43,6,Google Play Store,3.8.33,negative,2025-06
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best easy to use feature.,5,0.658,2025-11-21,0,61,11,Google Play Store,3.4.99,positive,2025-11
Bank of Abyssinia,The app keeps having problems with poor connectivity.,1,-0.485,2025-10-19,1,53,8,Google Play Store,3.8.28,negative,2025-10
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best easy to use feature.,5,1.0,2025-08-06,4,61,11,Google Play Store,1.0.58,positive,2025-08
Dashen Bank,Highly recommended for quick setup.,5,1.0,2025-06-05,4,35,5,Google Play Store,3.3.87,positive,2025-06
Dashen Bank,The app works perfectly for modern design.,5,0.578,2025-09-10,2,42,7,Google Play Store,2.5.26,positive,2025-09
Dashen Bank,I love how easy it is to do modern design.,5,1.0,2025-02-04,1,42,10,Google Play Store,2.5.92,positive,2025-02
Bank of Abyssinia,Please fix the buggy updates problem!,1,-0.51,2024-12-17,0,37,6,Google Play Store,2.8.15,negative,2024-12
Bank of Abyssinia,The app works perfectly for helpful support team.,5,0.691,2024-12-11,2,49,8,Google Play Store,2.1.25,positive,2024-12
Commercial Bank of Ethiopia,app crashes frequently is making the app unusable.,1,-0.448,2025-01-01,2,50,8,Google Play Store,4.3.93,negative,2025-01
Bank of Abyssinia,Please fix the high fees problem!,1,-0.979,2025-07-19,2,33,6,Google Play Store,4.9.42,negative,2025-07
Commercial Bank of Ethiopia,Please fix the login problems problem!,1,-0.991,2024-12-19,1,38,6,Google Play Store,2.3.8,negative,2024-12
Commercial Bank of Ethiopia,Please fix the app crashes frequently problem!,1,-0.221,2025-01-14,1,46,7,Google Play Store,3.2.90,negative,2025-01
Commercial Bank of Ethiopia,Excellent experience with good customer support.,5,1.0,2025-08-11,3,48,6,Google Play Store,3.8.4,positive,2025-08
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best good customer support feature.,4,1.0,2025-07-17,4,71,11,Google Play Store,3.6.70,positive,2025-07
Dashen Bank,I love how easy it is to do good security.,5,0.922,2025-04-26,2,42,10,Google Play Store,2.8.90,positive,2025-04
Commercial Bank of Ethiopia,Please fix the login problems problem!,1,-0.551,2025-11-09,0,38,6,Google Play Store,4.2.33,negative,2025-11
Dashen Bank,Highly recommended for innovative features.,5,0.706,2025-01-24,1,43,5,Google Play Store,2.4.56,positive,2025-01
Awash Bank,Excellent experience with stable performance.,5,0.409,2025-01-05,4,45,5,Google Play Store,2.4.24,positive,2025-01
Commercial Bank of Ethiopia,Highly recommended for convenient.,5,0.463,2025-04-06,3,34,4,Google Play Store,2.8.80,positive,2025-04
Awash Bank,The app works perfectly for useful features.,5,0.401,2024-12-11,2,44,7,Google Play Store,4.0.87,positive,2024-12
Commercial Bank of Ethiopia,Highly recommended for easy to use.,5,0.537,2025-09-13,0,35,6,Google Play Store,1.8.12,positive,2025-09
Commercial Bank of Ethiopia,Disappointed with app crashes frequently issues.,1,-0.882,2025-08-16,2,48,6,Google Play Store,3.3.31,negative,2025-08
Commercial Bank of Ethiopia,"Frustrated with login problems, needs immediate attention.",2,-1.0,2025-06-24,1,58,7,Google Play Store,3.2.5,negative,2025-06
Bank of Abyssinia,Please fix the buggy updates problem!,1,-0.94,2025-07-09,1,37,6,Google Play Store,2.8.19,negative,2025-07
Bank of Abyssinia,Highly recommended for user-friendly interface.,5,0.575,2025-05-11,4,47,5,Google Play Store,4.7.96,positive,2025-05
Bank of Abyssinia,The app works perfectly for user-friendly interface.,5,0.675,2025-01-03,3,52,7,Google Play Store,1.2.85,positive,2025-01
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best good customer support feature.,5,0.701,2025-09-15,3,71,11,Google Play Store,4.7.81,positive,2025-09
Awash Bank,The app keeps having problems with slow transactions.,1,-1.0,2025-10-06,0,53,8,Google Play Store,2.8.68,negative,2025-10
Commercial Bank of Ethiopia,Excellent experience with reliable service.,5,0.425,2024-12-23,4,43,5,Google Play Store,3.6.90,positive,2024-12
Commercial Bank of Ethiopia,update issues is making the app unusable.,1,-0.77,2025-01-15,0,41,7,Google Play Store,2.5.66,negative,2025-01
Commercial Bank of Ethiopia,Excellent experience with fast money transfer.,5,0.642,2025-03-20,3,46,6,Google Play Store,3.5.50,positive,2025-03
Dashen Bank,Highly recommended for innovative features.,5,0.843,2025-02-05,4,43,5,Google Play Store,1.9.31,positive,2025-02
Bank of Abyssinia,"Frustrated with high fees, needs immediate attention.",1,-1.0,2024-12-27,2,53,7,Google Play Store,1.8.26,negative,2024-12
Commercial Bank of Ethiopia,I love how easy it is to do easy to use.,5,0.905,2025-06-18,2,40,11,Google Play Store,4.0.68,positive,2025-06
Commercial Bank of Ethiopia,The app keeps having problems with slow loading time.,1,-0.704,2024-12-30,1,53,9,Google Play Store,2.5.18,negative,2024-12
Bank of Abyssinia,The app works perfectly for helpful support team.,5,1.0,2025-09-03,1,49,8,Google Play Store,2.0.72,positive,2025-09
Commercial Bank of Ethiopia,Please fix the app crashes frequently problem!,2,-0.725,2025-10-08,1,46,7,Google Play Store,2.5.39,negative,2025-10
Bank of Abyssinia,Excellent experience with helpful support team.,4,1.0,2025-05-12,2,47,6,Google Play Store,2.7.67,positive,2025-05
Commercial Bank of Ethiopia,The app works perfectly for fast money transfer.,4,1.0,2024-12-27,1,48,8,Google Play Store,2.4.70,positive,2024-12
Dashen Bank,Disappointed with complex navigation issues.,2,-0.571,2025-02-23,1,44,5,Google Play Store,1.9.51,negative,2025-02
Dashen Bank,Disappointed with complex navigation issues.,2,-0.866,2025-06-09,3,44,5,Google Play Store,1.5.34,negative,2025-06
Commercial Bank of Ethiopia,Excellent experience with convenient.,5,0.96,2025-05-03,3,37,4,Google Play Store,4.6.44,positive,2025-05
Commercial Bank of Ethiopia,The app works perfectly for easy to use.,5,0.879,2025-07-30,2,40,8,Google Play Store,2.2.35,positive,2025-07
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best reliable service feature.,4,0.62,2024-12-05,4,66,10,Google Play Store,3.9.64,positive,2024-12
Commercial Bank of Ethiopia,Highly recommended for good customer support.,5,0.846,2025-04-02,1,45,6,Google Play Store,4.7.25,positive,2025-04
Bank of Abyssinia,The app works perfectly for helpful support team.,5,1.0,2025-05-24,0,49,8,Google Play Store,1.8.2,positive,2025-05
Bank of Abyssinia,Bank of Abyssinia has the best user-friendly interface feature.,4,1.0,2025-01-25,6,63,9,Google Play Store,3.2.65,positive,2025-01
Bank of Abyssinia,I love how easy it is to do user-friendly interface.,5,0.581,2025-10-16,1,52,10,Google Play Store,2.8.35,positive,2025-10
Dashen Bank,Highly recommended for innovative features.,5,1.0,2025-11-13,3,43,5,Google Play Store,2.7.58,positive,2025-11
Dashen Bank,Excellent experience with quick setup.,4,0.824,2025-04-12,4,38,5,Google Play Store,4.8.35,positive,2025-04
Dashen Bank,I love how easy it is to do quick setup.,5,1.0,2024-12-13,4,40,10,Google Play Store,4.5.28,positive,2024-12
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best easy to use feature.,5,0.94,2025-04-02,2,61,11,Google Play Store,1.5.15,positive,2025-04
Commercial Bank of Ethiopia,I love how easy it is to do convenient.,4,0.545,2025-05-10,2,39,9,Google Play Store,3.9.22,positive,2025-05
Bank of Abyssinia,buggy updates is making the app unusable.,2,-0.749,2025-04-25,0,41,7,Google Play Store,2.4.12,negative,2025-04
Bank of Abyssinia,Disappointed with buggy updates issues.,2,-1.0,2025-01-11,3,39,5,Google Play Store,4.0.36,negative,2025-01
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best good customer support feature.,4,0.915,2025-06-08,3,71,11,Google Play Store,3.6.76,positive,2025-06
Dashen Bank,sync issues is making the app unusable.,1,-0.726,2025-02-07,3,39,7,Google Play Store,3.2.94,negative,2025-02
Commercial Bank of Ethiopia,Highly recommended for reliable service.,4,0.539,2025-02-02,1,40,5,Google Play Store,3.7.48,positive,2025-02
Dashen Bank,Excellent experience with quick setup.,5,1.0,2024-12-27,2,38,5,Google Play Store,1.2.42,positive,2024-12
Bank of Abyssinia,Excellent experience with secure transactions.,5,1.0,2025-06-03,4,46,5,Google Play Store,2.0.41,positive,2025-06
Dashen Bank,Excellent experience with modern design.,5,0.496,2025-05-07,3,40,5,Google Play Store,3.8.53,positive,2025-05
Commercial Bank of Ethiopia,I love how easy it is to do convenient.,5,0.909,2025-09-01,2,39,9,Google Play Store,1.6.58,positive,2025-09
Bank of Abyssinia,Disappointed with buggy updates issues.,2,-0.406,2025-08-31,3,39,5,Google Play Store,2.9.74,negative,2025-08
Bank of Abyssinia,I love how easy it is to do smooth experience.,4,0.367,2025-07-28,4,46,10,Google Play Store,3.7.47,positive,2025-07
Commercial Bank of Ethiopia,Disappointed with login problems issues.,1,-0.364,2025-04-08,2,40,5,Google Play Store,1.3.52,negative,2025-04
Awash Bank,notification delays is making the app unusable.,2,-0.196,2025-09-23,0,47,7,Google Play Store,2.3.49,negative,2025-09
Commercial Bank of Ethiopia,Highly recommended for reliable service.,4,0.562,2025-02-10,1,40,5,Google Play Store,3.7.10,positive,2025-02
Commercial Bank of Ethiopia,The app works perfectly for convenient.,4,0.492,2025-11-20,1,39,6,Google Play Store,2.3.94,positive,2025-11
Dashen Bank,I love how easy it is to do modern design.,4,1.0,2025-11-22,3,42,10,Google Play Store,4.7.98,positive,2025-11
Commercial Bank of Ethiopia,The app works perfectly for easy to use.,5,1.0,2025-06-05,5,40,8,Google Play Store,3.9.14,positive,2025-06
Commercial Bank of Ethiopia,I love how easy it is to do convenient.,5,0.709,2025-09-12,5,39,9,Google Play Store,4.1.15,positive,2025-09
Commercial Bank of Ethiopia,Highly recommended for good customer support.,4,1.0,2025-04-18,7,45,6,Google Play Store,3.5.62,positive,2025-04
Bank of Abyssinia,I love how easy it is to do user-friendly interface.,4,0.794,2025-08-29,4,52,10,Google Play Store,3.9.2,positive,2025-08
Dashen Bank,Dashen Bank has the best innovative features feature.,5,1.0,2025-02-19,2,53,8,Google Play Store,2.3.12,positive,2025-02
Bank of Abyssinia,Bank of Abyssinia has the best user-friendly interface feature.,5,0.48,2025-03-05,4,63,9,Google Play Store,3.9.58,positive,2025-03
Bank of Abyssinia,I love how easy it is to do secure transactions.,5,1.0,2025-02-20,4,48,10,Google Play Store,1.4.54,positive,2025-02
Bank of Abyssinia,Highly recommended for smooth experience.,5,0.851,2025-06-06,6,41,5,Google Play Store,4.0.77,positive,2025-06
Awash Bank,I love how easy it is to do stable performance.,5,1.0,2025-07-17,3,47,10,Google Play Store,1.4.39,positive,2025-07
Awash Bank,Excellent experience with useful features.,4,0.36,2025-04-14,2,42,5,Google Play Store,1.2.65,positive,2025-04
Bank of Abyssinia,Disappointed with buggy updates issues.,2,-0.782,2025-08-06,1,39,5,Google Play Store,2.9.48,negative,2025-08
Commercial Bank of Ethiopia,Disappointed with app crashes frequently issues.,2,-1.0,2025-09-11,0,48,6,Google Play Store,3.7.55,negative,2025-09
Bank of Abyssinia,Bank of Abyssinia has the best secure transactions feature.,5,0.63,2025-05-09,2,59,9,Google Play Store,3.7.75,positive,2025-05
Commercial Bank of Ethiopia,I love how easy it is to do reliable service.,5,0.561,2025-08-07,7,45,10,Google Play Store,3.2.75,positive,2025-08
Dashen Bank,Dashen Bank has the best modern design feature.,5,1.0,2025-07-24,3,47,8,Google Play Store,2.2.20,positive,2025-07
Bank of Abyssinia,Disappointed with transaction failures issues.,2,-1.0,2025-07-13,1,46,5,Google Play Store,3.8.20,negative,2025-07
Bank of Abyssinia,Bank of Abyssinia has the best smooth experience feature.,4,0.759,2025-07-07,5,57,9,Google Play Store,1.7.74,positive,2025-07
Dashen Bank,Excellent experience with good security.,5,1.0,2024-12-19,6,40,5,Google Play Store,3.9.76,positive,2024-12
Bank of Abyssinia,The app works perfectly for helpful support team.,5,1.0,2025-05-31,2,49,8,Google Play Store,4.8.75,positive,2025-05
Bank of Abyssinia,I love how easy it is to do user-friendly interface.,5,1.0,2025-01-02,4,52,10,Google Play Store,1.5.89,positive,2025-01
Commercial Bank of Ethiopia,Please fix the login problems problem!,2,-0.73,2025-02-23,1,38,6,Google Play Store,4.2.59,negative,2025-02
Commercial Bank of Ethiopia,Please fix the slow loading time problem!,1,-0.516,2025-05-19,2,41,7,Google Play Store,1.6.43,negative,2025-05
Commercial Bank of Ethiopia,Excellent experience with fast money transfer.,5,1.0,2025-08-25,2,46,6,Google Play Store,4.0.70,positive,2025-08
Commercial Bank of Ethiopia,Highly recommended for easy to use.,5,0.505,2025-04-08,2,35,6,Google Play Store,4.3.44,positive,2025-04
Commercial Bank of Ethiopia,The app works perfectly for reliable service.,4,0.862,2025-03-14,1,45,7,Google Play Store,3.9.56,positive,2025-03
Commercial Bank of Ethiopia,Highly recommended for good customer support.,4,0.571,2025-08-27,4,45,6,Google Play Store,2.3.92,positive,2025-08
Awash Bank,The app works perfectly for useful features.,5,0.918,2025-05-05,5,44,7,Google Play Store,3.3.80,positive,2025-05
Dashen Bank,The app works perfectly for modern design.,5,0.907,2025-03-31,2,42,7,Google Play Store,4.6.13,positive,2025-03
Bank of Abyssinia,Highly recommended for secure transactions.,4,1.0,2025-10-17,3,43,5,Google Play Store,4.8.73,positive,2025-10
Dashen Bank,The app works perfectly for innovative features.,4,0.763,2025-08-09,1,48,7,Google Play Store,3.4.20,positive,2025-08
Awash Bank,Awash Bank has the best easy registration feature.,4,0.372,2025-10-10,2,50,8,Google Play Store,3.4.58,positive,2025-10
Bank of Abyssinia,I love how easy it is to do smooth experience.,5,1.0,2025-01-04,1,46,10,Google Play Store,2.7.6,positive,2025-01
Commercial Bank of Ethiopia,Excellent experience with good customer support.,4,0.597,2025-03-25,2,48,6,Google Play Store,2.3.27,positive,2025-03
Commercial Bank of Ethiopia,Highly recommended for easy to use.,4,0.691,2025-02-13,4,35,6,Google Play Store,1.4.26,positive,2025-02
Awash Bank,I love how easy it is to do easy registration.,5,0.754,2024-12-12,3,46,10,Google Play Store,2.3.21,positive,2024-12
Commercial Bank of Ethiopia,The app works perfectly for convenient.,4,0.34,2025-02-18,3,39,6,Google Play Store,1.5.57,positive,2025-02
Commercial Bank of Ethiopia,update issues is making the app unusable.,1,-1.0,2025-06-27,2,41,7,Google Play Store,3.4.31,negative,2025-06
Bank of Abyssinia,Highly recommended for user-friendly interface.,5,0.771,2025-09-06,3,47,5,Google Play Store,2.0.96,positive,2025-09
Bank of Abyssinia,I love how easy it is to do secure transactions.,5,1.0,2025-03-18,1,48,10,Google Play Store,4.1.42,positive,2025-03
Awash Bank,I love how easy it is to do easy registration.,5,0.501,2025-01-21,0,46,10,Google Play Store,4.5.27,positive,2025-01
Dashen Bank,The app works perfectly for innovative features.,4,1.0,2025-02-03,1,48,7,Google Play Store,2.8.83,positive,2025-02
Dashen Bank,I love how easy it is to do innovative features.,4,1.0,2025-09-21,1,48,10,Google Play Store,4.8.97,positive,2025-09
Dashen Bank,Excellent experience with good security.,5,1.0,2025-10-07,1,40,5,Google Play Store,4.4.27,positive,2025-10
Commercial Bank of Ethiopia,I love how easy it is to do good customer support.,5,0.528,2025-06-24,3,50,11,Google Play Store,4.5.77,positive,2025-06
Dashen Bank,Disappointed with complex navigation issues.,1,-0.521,2025-02-12,0,44,5,Google Play Store,4.4.67,negative,2025-02
Commercial Bank of Ethiopia,The app works perfectly for convenient.,4,0.753,2025-07-14,1,39,6,Google Play Store,3.0.40,positive,2025-07
Bank of Abyssinia,Excellent experience with secure transactions.,5,0.644,2025-10-21,0,46,5,Google Play Store,3.2.16,positive,2025-10
Bank of Abyssinia,Excellent experience with user-friendly interface.,5,0.621,2025-07-23,1,50,5,Google Play Store,1.5.65,positive,2025-07
Bank of Abyssinia,Bank of Abyssinia has the best smooth experience feature.,4,0.521,2025-09-19,3,57,9,Google Play Store,4.2.19,positive,2025-09
Bank of Abyssinia,"Frustrated with transaction failures, needs immediate attention.",1,-0.779,2025-01-11,2,64,7,Google Play Store,4.2.68,negative,2025-01
Bank of Abyssinia,poor connectivity is making the app unusable.,2,-0.494,2025-08-23,0,45,7,Google Play Store,3.8.85,negative,2025-08
Commercial Bank of Ethiopia,I love how easy it is to do convenient.,4,0.994,2025-08-10,3,39,9,Google Play Store,3.6.50,positive,2025-08
Bank of Abyssinia,Excellent experience with secure transactions.,5,0.499,2025-03-03,3,46,5,Google Play Store,1.2.71,positive,2025-03
Bank of Abyssinia,Disappointed with transaction failures issues.,2,-0.89,2025-07-02,1,46,5,Google Play Store,3.4.36,negative,2025-07
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best fast money transfer feature.,5,0.448,2025-09-19,4,69,11,Google Play Store,1.6.27,positive,2025-09
Bank of Abyssinia,Bank of Abyssinia has the best user-friendly interface feature.,5,1.0,2025-10-29,4,63,9,Google Play Store,3.7.88,positive,2025-10
Bank of Abyssinia,I love how easy it is to do smooth experience.,5,0.846,2025-09-07,2,46,10,Google Play Store,1.8.73,positive,2025-09
Bank of Abyssinia,The app works perfectly for smooth experience.,5,0.803,2025-05-29,2,46,7,Google Play Store,2.3.0,positive,2025-05
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best reliable service feature.,4,0.441,2025-08-02,3,66,10,Google Play Store,1.2.46,positive,2025-08
Dashen Bank,I love how easy it is to do modern design.,5,0.882,2025-07-24,3,42,10,Google Play Store,4.1.89,positive,2025-07
Commercial Bank of Ethiopia,Please fix the slow loading time problem!,2,-0.995,2025-10-20,0,41,7,Google Play Store,2.2.17,negative,2025-10
Bank of Abyssinia,Disappointed with transaction failures issues.,1,-0.385,2025-07-01,0,46,5,Google Play Store,2.4.75,negative,2025-07
Dashen Bank,Highly recommended for good security.,5,0.391,2025-03-04,3,37,5,Google Play Store,1.9.10,positive,2025-03
Dashen Bank,I love how easy it is to do modern design.,5,0.78,2025-07-22,2,42,10,Google Play Store,3.6.27,positive,2025-07
Bank of Abyssinia,Highly recommended for helpful support team.,4,0.864,2025-10-22,3,44,6,Google Play Store,3.2.82,positive,2025-10
Dashen Bank,Highly recommended for modern design.,5,1.0,2025-09-27,2,37,5,Google Play Store,4.2.84,positive,2025-09
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best fast money transfer feature.,5,0.694,2025-01-10,1,69,11,Google Play Store,1.5.23,positive,2025-01
Bank of Abyssinia,The app works perfectly for smooth experience.,5,0.587,2025-11-21,5,46,7,Google Play Store,2.4.42,positive,2025-11
Commercial Bank of Ethiopia,Disappointed with login problems issues.,1,-1.0,2025-09-02,1,40,5,Google Play Store,3.8.95,negative,2025-09
Commercial Bank of Ethiopia,I love how easy it is to do reliable service.,4,0.521,2025-02-26,2,45,10,Google Play Store,1.3.81,positive,2025-02
Dashen Bank,Disappointed with error messages issues.,1,-0.736,2025-08-11,2,40,5,Google Play Store,3.4.25,negative,2025-08
Dashen Bank,error messages is making the app unusable.,1,-0.754,2025-07-05,0,42,7,Google Play Store,3.1.75,negative,2025-07
Dashen Bank,Dashen Bank has the best quick setup feature.,5,0.973,2025-06-09,7,45,8,Google Play Store,4.2.59,positive,2025-06
Awash Bank,Highly recommended for easy registration.,5,1.0,2025-09-29,4,41,5,Google Play Store,1.1.86,positive,2025-09
Commercial Bank of Ethiopia,"Frustrated with update issues, needs immediate attention.",1,-1.0,2025-02-03,0,57,7,Google Play Store,2.6.49,negative,2025-02
Commercial Bank of Ethiopia,Please fix the app crashes frequently problem!,2,-0.707,2025-08-13,0,46,7,Google Play Store,1.6.19,negative,2025-08
Commercial Bank of Ethiopia,I love how easy it is to do fast money transfer.,5,0.681,2025-07-22,2,48,11,Google Play Store,3.1.39,positive,2025-07
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best fast money transfer feature.,4,0.371,2025-04-10,2,69,11,Google Play Store,1.1.88,positive,2025-04
Commercial Bank of Ethiopia,The app works perfectly for reliable service.,5,1.0,2025-01-01,1,45,7,Google Play Store,2.8.44,positive,2025-01
Bank of Abyssinia,I love how easy it is to do secure transactions.,4,1.0,2025-04-03,1,48,10,Google Play Store,1.8.94,positive,2025-04
Commercial Bank of Ethiopia,The app works perfectly for convenient.,5,0.741,2025-08-26,6,39,6,Google Play Store,1.9.60,positive,2025-08
Commercial Bank of Ethiopia,Please fix the app crashes frequently problem!,1,-1.0,2025-02-08,2,46,7,Google Play Store,2.7.72,negative,2025-02
Dashen Bank,Highly recommended for good security.,4,0.859,2025-05-11,3,37,5,Google Play Store,4.6.80,positive,2025-05
Commercial Bank of Ethiopia,"Frustrated with login problems, needs immediate attention.",2,-0.795,2025-09-19,2,58,7,Google Play Store,3.2.61,negative,2025-09
Dashen Bank,error messages is making the app unusable.,2,-0.663,2024-12-10,1,42,7,Google Play Store,1.8.15,negative,2024-12
Bank of Abyssinia,Excellent experience with smooth experience.,5,0.761,2025-05-26,5,44,5,Google Play Store,2.8.54,positive,2025-05
Bank of Abyssinia,Bank of Abyssinia has the best helpful support team feature.,4,0.949,2025-06-20,0,60,10,Google Play Store,3.9.47,positive,2025-06
Commercial Bank of Ethiopia,update issues is making the app unusable.,2,-0.307,2025-08-16,2,41,7,Google Play Store,4.2.2,negative,2025-08
Commercial Bank of Ethiopia,The app works perfectly for convenient.,5,1.0,2025-02-08,3,39,6,Google Play Store,3.0.98,positive,2025-02
Dashen Bank,Disappointed with error messages issues.,2,-0.27,2025-03-25,1,40,5,Google Play Store,4.7.22,negative,2025-03
Bank of Abyssinia,I love how easy it is to do secure transactions.,4,0.75,2025-03-14,4,48,10,Google Play Store,1.3.12,positive,2025-03
Awash Bank,I love how easy it is to do easy registration.,5,0.568,2025-05-25,3,46,10,Google Play Store,1.4.77,positive,2025-05
Dashen Bank,Excellent experience with modern design.,5,0.893,2025-01-31,3,40,5,Google Play Store,2.3.84,positive,2025-01
Bank of Abyssinia,Disappointed with transaction failures issues.,2,-0.994,2025-01-30,0,46,5,Google Play Store,4.8.68,negative,2025-01
Dashen Bank,I love how easy it is to do modern design.,5,0.743,2025-03-27,1,42,10,Google Play Store,1.0.0,positive,2025-03
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best fast money transfer feature.,5,0.549,2025-04-19,2,69,11,Google Play Store,2.9.87,positive,2025-04
Commercial Bank of Ethiopia,Excellent experience with good customer support.,5,1.0,2025-09-15,2,48,6,Google Play Store,2.9.67,positive,2025-09
Awash Bank,I love how easy it is to do easy registration.,5,1.0,2025-02-01,3,46,10,Google Play Store,3.9.50,positive,2025-02
Commercial Bank of Ethiopia,The app works perfectly for fast money transfer.,4,0.964,2025-09-11,1,48,8,Google Play Store,4.2.61,positive,2025-09
Commercial Bank of Ethiopia,"Frustrated with app crashes frequently, needs immediate attention.",1,-0.378,2025-11-02,0,66,8,Google Play Store,2.6.16,negative,2025-11
Commercial Bank of Ethiopia,login problems is making the app unusable.,2,-0.367,2025-02-15,1,42,7,Google Play Store,1.5.36,negative,2025-02
Commercial Bank of Ethiopia,Highly recommended for reliable service.,4,0.935,2025-11-07,6,40,5,Google Play Store,3.1.45,positive,2025-11
Awash Bank,"Frustrated with slow transactions, needs immediate attention.",1,-0.741,2025-09-13,2,61,7,Google Play Store,4.0.53,negative,2025-09
Commercial Bank of Ethiopia,I love how easy it is to do fast money transfer.,4,0.897,2025-01-02,2,48,11,Google Play Store,1.6.63,positive,2025-01
Commercial Bank of Ethiopia,"Frustrated with connection errors, needs immediate attention.",2,-0.541,2025-09-27,0,61,7,Google Play Store,2.0.40,negative,2025-09
Bank of Abyssinia,The app keeps having problems with buggy updates.,2,-0.431,2025-03-08,3,49,8,Google Play Store,2.3.20,negative,2025-03
Commercial Bank of Ethiopia,Excellent experience with easy to use.,4,0.55,2025-10-08,4,38,6,Google Play Store,3.1.57,positive,2025-10
Commercial Bank of Ethiopia,I love how easy it is to do convenient.,5,1.0,2025-09-20,2,39,9,Google Play Store,1.7.39,positive,2025-09
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best fast money transfer feature.,5,0.422,2025-07-19,1,69,11,Google Play Store,2.7.57,positive,2025-07
Dashen Bank,The app works perfectly for innovative features.,5,1.0,2025-05-05,4,48,7,Google Play Store,2.3.46,positive,2025-05
Dashen Bank,Excellent experience with innovative features.,5,0.482,2025-11-07,4,46,5,Google Play Store,2.0.41,positive,2025-11
Bank of Abyssinia,Excellent experience with secure transactions.,5,0.884,2025-07-02,7,46,5,Google Play Store,1.8.9,positive,2025-07
Commercial Bank of Ethiopia,The app works perfectly for convenient.,5,0.732,2025-07-02,2,39,6,Google Play Store,1.3.62,positive,2025-07
Commercial Bank of Ethiopia,The app works perfectly for convenient.,5,0.786,2025-10-20,5,39,6,Google Play Store,4.1.72,positive,2025-10
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best easy to use feature.,4,0.767,2025-10-18,6,61,11,Google Play Store,2.3.21,positive,2025-10
Commercial Bank of Ethiopia,Disappointed with login problems issues.,1,-0.411,2025-08-18,0,40,5,Google Play Store,3.4.10,negative,2025-08
Commercial Bank of Ethiopia,app crashes frequently is making the app unusable.,2,-0.5,2025-11-16,2,50,8,Google Play Store,2.7.87,negative,2025-11
Dashen Bank,Dashen Bank has the best modern design feature.,5,0.49,2025-10-30,1,47,8,Google Play Store,1.2.61,positive,2025-10
Dashen Bank,I love how easy it is to do modern design.,4,0.509,2025-08-04,6,42,10,Google Play Store,3.8.11,positive,2025-08
Bank of Abyssinia,Highly recommended for helpful support team.,5,0.809,2025-11-25,6,44,6,Google Play Store,2.6.19,positive,2025-11
Awash Bank,Highly recommended for easy registration.,5,0.555,2025-10-20,1,41,5,Google Play Store,2.0.50,positive,2025-10
Dashen Bank,Highly recommended for good security.,5,0.403,2025-10-25,2,37,5,Google Play Store,1.3.95,positive,2025-10
Dashen Bank,I love how easy it is to do modern design.,5,0.627,2025-01-06,4,42,10,Google Play Store,3.7.32,positive,2025-01
Dashen Bank,Excellent experience with quick setup.,4,0.761,2025-04-01,4,38,5,Google Play Store,3.3.48,positive,2025-04
